frame,timestamp_ns,tile_x,tile_y,tile_frames,tile_points,query_points,gt_x,gt_y,gt_yaw_deg,gt_inlier,gt_probe_ok,gt_probe_dt,gt_probe_dr,gt_probe_inlier,evaluated,passed,distinct,oracle_dt,feature_ms,ransac_ms,config,polish_ms,best_inlier,best_error,err_trans,err_rot_deg,oracle_polished_dt
1538,1566536088345101704,336.00,240.00,383,178154,9311,337.62,236.57,122.36,0.9367,1,0.9922,0.2273,0.9665,10000,4149,10,1.667,396.7,306.8,icp_d4_i120,6844.7,0.9661,0.2475,0.975,0.267,0.967
1538,1566536088345101704,336.00,240.00,383,178154,9311,337.62,236.57,122.36,0.9367,1,0.9922,0.2273,0.9665,10000,4149,10,1.667,396.7,306.8,gicp_d4_i120,4981.3,0.9665,0.2502,0.992,0.228,0.990
1538,1566536088345101704,336.00,240.00,383,178154,9311,337.62,236.57,122.36,0.9367,1,0.9922,0.2273,0.9665,10000,4149,10,1.667,396.7,306.8,ndt_r3_i120,3360.7,0.9664,0.2511,1.047,0.278,1.033
1611,1566536095644964355,360.00,192.00,418,212491,8630,369.62,185.75,122.54,0.9761,1,0.7621,0.4141,0.9815,10000,3085,10,5.058,403.9,285.4,icp_d4_i120,9698.9,0.9815,0.2466,0.820,0.472,0.820
1611,1566536095644964355,360.00,192.00,418,212491,8630,369.62,185.75,122.54,0.9761,1,0.7621,0.4141,0.9815,10000,3085,10,5.058,403.9,285.4,gicp_d4_i120,16894.6,0.9815,0.2453,0.779,0.388,0.779
1611,1566536095644964355,360.00,192.00,418,212491,8630,369.62,185.75,122.54,0.9761,1,0.7621,0.4141,0.9815,10000,3085,10,5.058,403.9,285.4,ndt_r3_i120,3160.4,0.9816,0.2467,0.720,0.487,0.720
1684,1566536102952865725,408.00,168.00,411,210806,10699,400.15,162.44,-160.68,0.9865,1,0.6837,0.4354,0.9939,10000,5247,10,1.013,517.4,320.2,icp_d4_i120,11473.0,0.9941,0.2442,0.701,0.359,0.701
1684,1566536102952865725,408.00,168.00,411,210806,10699,400.15,162.44,-160.68,0.9865,1,0.6837,0.4354,0.9939,10000,5247,10,1.013,517.4,320.2,gicp_d4_i120,14059.1,0.9940,0.2441,1.355,0.549,0.684
1684,1566536102952865725,408.00,168.00,411,210806,10699,400.15,162.44,-160.68,0.9865,1,0.6837,0.4354,0.9939,10000,5247,10,1.013,517.4,320.2,ndt_r3_i120,3521.3,0.9942,0.2513,1.078,0.482,1.024
1757,1566536110248473293,432.00,168.00,389,202322,9627,427.87,179.82,-144.43,0.9816,1,0.6342,0.1902,0.9805,10000,5591,10,3.715,465.4,308.7,icp_d4_i120,9770.6,0.9808,0.2475,0.577,0.129,0.577
1757,1566536110248473293,432.00,168.00,389,202322,9627,427.87,179.82,-144.43,0.9816,1,0.6342,0.1902,0.9805,10000,5591,10,3.715,465.4,308.7,gicp_d4_i120,17741.9,0.9805,0.2485,0.611,0.191,0.611
1757,1566536110248473293,432.00,168.00,389,202322,9627,427.87,179.82,-144.43,0.9816,1,0.6342,0.1902,0.9805,10000,5591,10,3.715,465.4,308.7,ndt_r3_i120,2661.0,0.9800,0.2482,0.673,0.442,0.673
1830,1566536117544168777,456.00,192.00,283,167550,12207,462.40,201.80,-148.72,0.9602,1,0.4215,0.2302,0.9606,10000,4040,10,0.810,421.5,356.3,icp_d4_i120,15167.9,0.9608,0.2534,0.379,0.027,0.374
1830,1566536117544168777,456.00,192.00,283,167550,12207,462.40,201.80,-148.72,0.9602,1,0.4215,0.2302,0.9606,10000,4040,10,0.810,421.5,356.3,gicp_d4_i120,15480.5,0.9606,0.2559,0.423,0.209,0.423
1830,1566536117544168777,456.00,192.00,283,167550,12207,462.40,201.80,-148.72,0.9602,1,0.4215,0.2302,0.9606,10000,4040,10,0.810,421.5,356.3,ndt_r3_i120,2780.7,0.9600,0.2559,0.475,0.208,0.475
1903,1566536124844530056,504.00,240.00,197,175430,12208,515.87,235.72,-147.75,0.9839,1,0.2164,0.2147,0.9830,10000,1557,10,1.006,378.5,344.8,icp_d4_i120,11682.3,0.9835,0.2402,0.175,0.065,0.166
1903,1566536124844530056,504.00,240.00,197,175430,12208,515.87,235.72,-147.75,0.9839,1,0.2164,0.2147,0.9830,10000,1557,10,1.006,378.5,344.8,gicp_d4_i120,5220.8,0.9830,0.2405,0.214,0.216,0.214
1903,1566536124844530056,504.00,240.00,197,175430,12208,515.87,235.72,-147.75,0.9839,1,0.2164,0.2147,0.9830,10000,1557,10,1.006,378.5,344.8,ndt_r3_i120,3772.4,0.9827,0.2416,0.249,0.354,0.188
1976,1566536132144940710,552.00,240.00,199,208296,9897,558.23,238.78,142.48,0.9864,1,0.3447,0.6933,0.9922,10000,5782,10,0.566,495.6,334.6,icp_d4_i120,8766.4,0.9921,0.2546,0.272,0.518,0.246
1976,1566536132144940710,552.00,240.00,199,208296,9897,558.23,238.78,142.48,0.9864,1,0.3447,0.6933,0.9922,10000,5782,10,0.566,495.6,334.6,gicp_d4_i120,6437.8,0.9922,0.2540,0.344,0.715,0.343
1976,1566536132144940710,552.00,240.00,199,208296,9897,558.23,238.78,142.48,0.9864,1,0.3447,0.6933,0.9922,10000,5782,10,0.566,495.6,334.6,ndt_r3_i120,3649.9,0.9914,0.2534,0.308,0.529,0.268
2049,1566536139444535963,600.00,192.00,175,170683,10030,607.87,197.76,141.57,0.9739,1,0.6706,0.2484,0.9816,10000,5776,10,0.945,441.6,325.0,icp_d4_i120,10519.3,0.9812,0.2440,0.644,0.209,0.644
2049,1566536139444535963,600.00,192.00,175,170683,10030,607.87,197.76,141.57,0.9739,1,0.6706,0.2484,0.9816,10000,5776,10,0.945,441.6,325.0,gicp_d4_i120,9281.9,0.9816,0.2443,0.671,0.246,0.671
2049,1566536139444535963,600.00,192.00,175,170683,10030,607.87,197.76,141.57,0.9739,1,0.6706,0.2484,0.9816,10000,5776,10,0.945,441.6,325.0,ndt_r3_i120,3543.7,0.9823,0.2450,0.701,0.373,0.636
2122,1566536146743747960,648.00,144.00,175,136789,6344,654.50,145.21,122.80,0.9357,1,1.1382,0.3105,0.9830,10000,2871,10,1.197,217.1,200.2,icp_d4_i120,4253.2,0.9834,0.2516,1.043,0.207,1.003
2122,1566536146743747960,648.00,144.00,175,136789,6344,654.50,145.21,122.80,0.9357,1,1.1382,0.3105,0.9830,10000,2871,10,1.197,217.1,200.2,gicp_d4_i120,8165.6,0.9828,0.2506,1.135,0.302,1.135
2122,1566536146743747960,648.00,144.00,175,136789,6344,654.50,145.21,122.80,0.9357,1,1.1382,0.3105,0.9830,10000,2871,10,1.197,217.1,200.2,ndt_r3_i120,2844.1,0.9834,0.2538,1.120,0.340,0.999
2195,1566536154043976865,672.00,96.00,182,111710,7324,672.10,86.64,83.20,0.8609,1,1.5352,0.1392,0.9925,10000,4664,10,0.389,183.3,218.9,icp_d4_i120,4306.4,0.9928,0.2465,1.514,0.132,1.501
2195,1566536154043976865,672.00,96.00,182,111710,7324,672.10,86.64,83.20,0.8609,1,1.5352,0.1392,0.9925,10000,4664,10,0.389,183.3,218.9,gicp_d4_i120,10514.7,0.9925,0.2441,1.535,0.142,1.535
