frame,timestamp_ns,tile_x,tile_y,tile_frames,tile_points,query_points,gt_x,gt_y,gt_yaw_deg,gt_inlier,gt_probe_ok,gt_probe_dt,gt_probe_dr,gt_probe_inlier,evaluated,passed,distinct,oracle_dt,feature_ms,ransac_ms,config,polish_ms,best_inlier,best_error,err_trans,err_rot_deg,oracle_polished_dt
443,1566535978854089230,-48.00,72.00,751,277294,10901,-48.60,83.87,-57.34,0.9557,1,0.1392,0.3105,0.9558,10000,3495,10,3.733,475.9,355.1,none,12.4,0.6743,0.2494,3.733,7.865,3.733
443,1566535978854089230,-48.00,72.00,751,277294,10901,-48.60,83.87,-57.34,0.9557,1,0.1392,0.3105,0.9558,10000,3495,10,3.733,475.9,355.1,icp_d1_i30,3527.4,0.8610,0.2508,3.621,4.643,3.621
443,1566535978854089230,-48.00,72.00,751,277294,10901,-48.60,83.87,-57.34,0.9557,1,0.1392,0.3105,0.9558,10000,3495,10,3.733,475.9,355.1,icp_d2_i30,4433.3,0.9017,0.2404,3.456,2.843,3.456
443,1566535978854089230,-48.00,72.00,751,277294,10901,-48.60,83.87,-57.34,0.9557,1,0.1392,0.3105,0.9558,10000,3495,10,3.733,475.9,355.1,icp_d4_i30,5004.2,0.9078,0.2441,3.366,2.093,3.366
443,1566535978854089230,-48.00,72.00,751,277294,10901,-48.60,83.87,-57.34,0.9557,1,0.1392,0.3105,0.9558,10000,3495,10,3.733,475.9,355.1,gicp_d1_i30,5288.2,0.9563,0.2420,1.265,0.442,1.265
443,1566535978854089230,-48.00,72.00,751,277294,10901,-48.60,83.87,-57.34,0.9557,1,0.1392,0.3105,0.9558,10000,3495,10,3.733,475.9,355.1,gicp_d2_i30,5413.8,0.9567,0.2427,1.213,0.355,1.213
443,1566535978854089230,-48.00,72.00,751,277294,10901,-48.60,83.87,-57.34,0.9557,1,0.1392,0.3105,0.9558,10000,3495,10,3.733,475.9,355.1,gicp_d4_i30,5277.2,0.9566,0.2417,1.319,0.335,1.319
443,1566535978854089230,-48.00,72.00,751,277294,10901,-48.60,83.87,-57.34,0.9557,1,0.1392,0.3105,0.9558,10000,3495,10,3.733,475.9,355.1,ndt_r1_i30,1877.8,0.9254,0.2485,2.335,2.169,2.335
443,1566535978854089230,-48.00,72.00,751,277294,10901,-48.60,83.87,-57.34,0.9557,1,0.1392,0.3105,0.9558,10000,3495,10,3.733,475.9,355.1,ndt_r2_i30,2123.9,0.9527,0.2424,1.559,0.922,1.559
443,1566535978854089230,-48.00,72.00,751,277294,10901,-48.60,83.87,-57.34,0.9557,1,0.1392,0.3105,0.9558,10000,3495,10,3.733,475.9,355.1,ndt_r3_i30,2245.2,0.9556,0.2391,1.418,0.760,1.418
