frame,timestamp_ns,tile_x,tile_y,tile_frames,tile_points,query_points,gt_x,gt_y,gt_yaw_deg,gt_inlier,gt_probe_ok,gt_probe_dt,gt_probe_dr,gt_probe_inlier,evaluated,passed,distinct,oracle_dt,feature_ms,ransac_ms,config,polish_ms,best_inlier,best_error,err_trans,err_rot_deg,oracle_polished_dt
954,1566536029953325705,-72.00,336.00,984,308239,10805,-67.86,338.66,-152.09,0.9784,0,0.0990,0.3077,0.9786,10000,3210,10,2.955,543.3,371.5,icp_d4_i240,11692.2,0.9793,0.2470,0.831,0.928,0.134
954,1566536029953325705,-72.00,336.00,984,308239,10805,-67.86,338.66,-152.09,0.9784,0,0.0990,0.3077,0.9786,10000,3210,10,2.955,543.3,371.5,gicp_d4_i240,22229.0,0.9786,0.2470,0.102,0.323,0.102
954,1566536029953325705,-72.00,336.00,984,308239,10805,-67.86,338.66,-152.09,0.9784,0,0.0990,0.3077,0.9786,10000,3210,10,2.955,543.3,371.5,ndt_r3_i240,3563.0,0.9790,0.2463,0.357,0.520,0.357
1027,1566536037247571899,-24.00,312.00,918,262121,10204,-25.76,323.82,137.57,0.9579,1,0.2117,0.3504,0.9578,10000,1719,10,2.343,535.5,321.4,icp_d4_i240,8947.2,0.9590,0.2414,0.208,0.259,0.208
1027,1566536037247571899,-24.00,312.00,918,262121,10204,-25.76,323.82,137.57,0.9579,1,0.2117,0.3504,0.9578,10000,1719,10,2.343,535.5,321.4,gicp_d4_i240,14751.9,0.9578,0.2418,0.213,0.352,0.213
1027,1566536037247571899,-24.00,312.00,918,262121,10204,-25.76,323.82,137.57,0.9579,1,0.2117,0.3504,0.9578,10000,1719,10,2.343,535.5,321.4,ndt_r3_i240,4149.8,0.9584,0.2411,0.319,0.530,0.305
1100,1566536044548126397,24.00,288.00,582,211151,10131,25.65,280.95,146.14,0.9859,1,0.1571,0.2143,0.9864,10000,1236,10,0.312,365.4,291.1,icp_d4_i240,6485.4,0.9876,0.2474,0.267,0.278,0.138
1100,1566536044548126397,24.00,288.00,582,211151,10131,25.65,280.95,146.14,0.9859,1,0.1571,0.2143,0.9864,10000,1236,10,0.312,365.4,291.1,gicp_d4_i240,3066.6,0.9864,0.2481,0.158,0.215,0.158
1100,1566536044548126397,24.00,288.00,582,211151,10131,25.65,280.95,146.14,0.9859,1,0.1571,0.2143,0.9864,10000,1236,10,0.312,365.4,291.1,ndt_r3_i240,2699.0,0.9859,0.2467,0.091,0.145,0.066
1173,1566536051851512454,72.00,264.00,696,273520,11346,75.28,258.12,163.06,0.9730,1,0.2416,0.6756,0.9750,10000,3999,10,0.876,519.0,376.5,icp_d4_i240,12047.0,0.9751,0.2485,0.213,0.759,0.189
1173,1566536051851512454,72.00,264.00,696,273520,11346,75.28,258.12,163.06,0.9730,1,0.2416,0.6756,0.9750,10000,3999,10,0.876,519.0,376.5,gicp_d4_i240,22073.4,0.9751,0.2474,0.242,0.676,0.242
