frame,timestamp_ns,tile_x,tile_y,tile_frames,tile_points,query_points,gt_x,gt_y,gt_yaw_deg,gt_inlier,gt_probe_ok,gt_probe_dt,gt_probe_dr,gt_probe_inlier,evaluated,passed,distinct,oracle_dt,feature_ms,ransac_ms,config,omp_threads,polish_input_points,target_prep_ms,polish_ms,best_inlier,best_error,err_trans,err_rot_deg,oracle_polished_dt
1100,1566536044548126397,24.00,288.00,582,211151,10131,25.65,280.95,146.14,0.9859,1,0.1571,0.2143,0.9864,10000,1236,10,0.312,358.0,309.7,none,0,10131,0.0,5.4,0.9755,0.2413,0.312,1.171,0.312
1100,1566536044548126397,24.00,288.00,582,211151,10131,25.65,280.95,146.14,0.9859,1,0.1571,0.2143,0.9864,10000,1236,10,0.312,358.0,309.7,gicp_plugin,16,10131,0.0,3550.0,0.9872,0.2486,0.292,0.212,0.270
1100,1566536044548126397,24.00,288.00,582,211151,10131,25.65,280.95,146.14,0.9859,1,0.1571,0.2143,0.9864,10000,1236,10,0.312,358.0,309.7,gicp_d4_i60,16,10131,95.1,3083.4,0.9864,0.2481,0.158,0.215,0.158
1100,1566536044548126397,24.00,288.00,582,211151,10131,25.65,280.95,146.14,0.9859,1,0.1571,0.2143,0.9864,10000,1236,10,0.312,358.0,309.7,ndt_r3_i120,16,10131,8.7,2834.4,0.9859,0.2467,0.091,0.145,0.066
1173,1566536051851512454,72.00,264.00,696,273520,11346,75.28,258.12,163.06,0.9730,1,0.2416,0.6756,0.9750,10000,3999,10,0.876,564.1,377.8,none,0,11346,0.0,9.8,0.8980,0.2522,0.876,3.802,0.876
1173,1566536051851512454,72.00,264.00,696,273520,11346,75.28,258.12,163.06,0.9730,1,0.2416,0.6756,0.9750,10000,3999,10,0.876,564.1,377.8,gicp_plugin,16,11346,0.0,5069.7,0.9749,0.2485,0.338,0.635,0.337
1173,1566536051851512454,72.00,264.00,696,273520,11346,75.28,258.12,163.06,0.9730,1,0.2416,0.6756,0.9750,10000,3999,10,0.876,564.1,377.8,gicp_d4_i60,16,11346,131.2,7754.3,0.9751,0.2474,0.242,0.676,0.242
1173,1566536051851512454,72.00,264.00,696,273520,11346,75.28,258.12,163.06,0.9730,1,0.2416,0.6756,0.9750,10000,3999,10,0.876,564.1,377.8,ndt_r3_i120,16,11346,12.8,3852.6,0.9748,0.2467,0.213,0.650,0.213
1246,1566536059146865601,120.00,240.00,667,302018,13848,125.34,250.81,178.77,0.8804,1,1.1645,1.9184,0.9467,10000,2691,10,2.194,696.2,466.4,none,0,13848,0.0,9.9,0.7711,0.2486,2.194,6.042,2.194
1246,1566536059146865601,120.00,240.00,667,302018,13848,125.34,250.81,178.77,0.8804,1,1.1645,1.9184,0.9467,10000,2691,10,2.194,696.2,466.4,gicp_plugin,16,13848,0.0,5222.7,0.9511,0.2412,1.551,1.251,1.551
1246,1566536059146865601,120.00,240.00,667,302018,13848,125.34,250.81,178.77,0.8804,1,1.1645,1.9184,0.9467,10000,2691,10,2.194,696.2,466.4,gicp_d4_i60,16,13848,150.3,9561.3,0.9508,0.2435,1.401,1.448,1.196
1246,1566536059146865601,120.00,240.00,667,302018,13848,125.34,250.81,178.77,0.8804,1,1.1645,1.9184,0.9467,10000,2691,10,2.194,696.2,466.4,ndt_r3_i120,16,13848,11.8,4773.6,0.9500,0.2441,1.327,1.315,1.326
1319,1566536066447122403,192.00,264.00,329,188020,14809,194.16,256.76,-166.90,0.7994,0,2.0232,0.7532,0.9949,10000,727,10,1.061,532.5,459.9,none,0,14809,0.0,10.6,0.9818,0.2522,1.806,1.216,1.061
1319,1566536066447122403,192.00,264.00,329,188020,14809,194.16,256.76,-166.90,0.7994,0,2.0232,0.7532,0.9949,10000,727,10,1.061,532.5,459.9,gicp_plugin,16,14809,0.0,3533.0,0.9945,0.2457,2.054,0.808,2.042
1319,1566536066447122403,192.00,264.00,329,188020,14809,194.16,256.76,-166.90,0.7994,0,2.0232,0.7532,0.9949,10000,727,10,1.061,532.5,459.9,gicp_d4_i60,16,14809,83.8,5247.4,0.9949,0.2463,2.018,0.743,2.018
1319,1566536066447122403,192.00,264.00,329,188020,14809,194.16,256.76,-166.90,0.7994,0,2.0232,0.7532,0.9949,10000,727,10,1.061,532.5,459.9,ndt_r3_i120,16,14809,10.1,3598.0,0.9951,0.2464,2.057,0.790,1.029
